Type,confidence_value
car,87
Type,confidence_value
car,76
Type,confidence_value
car,68
Type,confidence_value
car,70
Type,confidence_value
car,72
Type,confidence_value
car,94
Type,confidence_value
car,92
Type,confidence_value
car,88
Type,confidence_value
motorbike,71
Type,confidence_value
motorbike,74
Type,confidence_value
bicycle,69
Type,confidence_value
bus,98
Type,confidence_value
bus,81
Type,confidence_value
bus,91
Type,confidence_value
car,95
Type,confidence_value
car,98
Type,confidence_value
car,88
Type,confidence_value
car,87
Type,confidence_value
car,99
Type,confidence_value
car,99
Type,confidence_value
car,88
Type,confidence_value
car,96
Type,confidence_value
bus,71
Type,confidence_value
car,98
Type,confidence_value
car,70
Type,confidence_value
car,57
Type,confidence_value
car,86
Type,confidence_value
car,63
Type,confidence_value
car,68
Type,confidence_value
car,94
Type,confidence_value
car,91
Type,confidence_value
car,77
Type,confidence_value
car,84
Type,confidence_value
car,70
Type,confidence_value
car,79
Type,confidence_value
car,95
Type,confidence_value
car,89
Type,confidence_value
car,78
Type,confidence_value
motorbike,74
Type,confidence_value
motorbike,54
Type,confidence_value
bicycle,62
Type,confidence_value
car,95
Type,confidence_value
car,94
Type,confidence_value
car,98
Type,confidence_value
motorbike,73
Type,confidence_value
car,54
Type,confidence_value
car,61
Type,confidence_value
car,70
Type,confidence_value
car,76
Type,confidence_value
car,98
Type,confidence_value
motorbike,87
Type,confidence_value
motorbike,89
Type,confidence_value
car,88
Type,confidence_value
car,91
Type,confidence_value
car,98
Type,confidence_value
motorbike,80
Type,confidence_value
car,57
Type,confidence_value
car,71
Type,confidence_value
car,76
Type,confidence_value
car,98
Type,confidence_value
motorbike,50
Type,confidence_value
motorbike,75
Type,confidence_value
motorbike,84
Type,confidence_value
car,91
Type,confidence_value
car,95
Type,confidence_value
car,98
Type,confidence_value
motorbike,85
Type,confidence_value
car,50
Type,confidence_value
car,65
Type,confidence_value
car,75
Type,confidence_value
car,98
Type,confidence_value
motorbike,56
Type,confidence_value
motorbike,82
Type,confidence_value
motorbike,92
Type,confidence_value
car,95
Type,confidence_value
car,94
Type,confidence_value
car,98
Type,confidence_value
motorbike,90
Type,confidence_value
car,58
Type,confidence_value
car,62
Type,confidence_value
car,98
Type,confidence_value
motorbike,66
Type,confidence_value
motorbike,81
Type,confidence_value
motorbike,90
Type,confidence_value
car,94
Type,confidence_value
car,91
Type,confidence_value
car,99
Type,confidence_value
motorbike,67
Type,confidence_value
car,60
Type,confidence_value
car,98
Type,confidence_value
motorbike,68
Type,confidence_value
motorbike,72
Type,confidence_value
motorbike,78
Type,confidence_value
truck,98
Type,confidence_value
truck,74
Type,confidence_value
bus,81
Type,confidence_value
car,96
Type,confidence_value
truck,72
Type,confidence_value
car,98
Type,confidence_value
truck,98
Type,confidence_value
truck,74
Type,confidence_value
truck,69
Type,confidence_value
car,98
Type,confidence_value
truck,69
Type,confidence_value
car,97
Type,confidence_value
truck,97
Type,confidence_value
bus,73
Type,confidence_value
truck,80
Type,confidence_value
car,95
Type,confidence_value
truck,79
Type,confidence_value
car,96
Type,confidence_value
truck,96
Type,confidence_value
bus,75
Type,confidence_value
truck,82
Type,confidence_value
truck,68
Type,confidence_value
car,89
Type,confidence_value
car,95
Type,confidence_value
truck,98
Type,confidence_value
truck,91
Type,confidence_value
truck,78
Type,confidence_value
truck,75
Type,confidence_value
car,97
Type,confidence_value
car,94
Type,confidence_value
truck,97
Type,confidence_value
truck,61
Type,confidence_value
truck,72
Type,confidence_value
truck,72
Type,confidence_value
car,97
Type,confidence_value
car,94
Type,confidence_value
truck,96
Type,confidence_value
truck,79
Type,confidence_value
truck,84
Type,confidence_value
truck,76
Type,confidence_value
car,96
Type,confidence_value
car,95
Type,confidence_value
truck,96
Type,confidence_value
truck,81
Type,confidence_value
truck,81
Type,confidence_value
truck,79
Type,confidence_value
car,96
Type,confidence_value
car,91
Type,confidence_value
truck,96
Type,confidence_value
truck,87
Type,confidence_value
bus,70
Type,confidence_value
truck,71
Type,confidence_value
car,97
Type,confidence_value
car,91
Type,confidence_value
truck,98
Type,confidence_value
truck,78
Type,confidence_value
truck,63
Type,confidence_value
bus,82
Type,confidence_value
car,98
Type,confidence_value
car,89
Type,confidence_value
truck,96
Type,confidence_value
truck,70
